Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Ganhadores_15_Numeros,Ganhadores_14_Numeros,Ganhadores_13_Numeros,Ganhadores_12_Numeros,Ganhadores_11_Numeros,Valor_Rateio_15_Numeros,Valor_Rateio_14_Numeros
439,6/29/2009,2,3,5,9,10,11,12,14,15,17,19,21,23,24,25,3,1050,31931,341529,1652570,"R$ 331.827,03","R$ 580,45"
440,7/2/2009,1,3,5,8,9,12,13,14,15,16,19,21,22,24,25,4,620,21684,279245,1477709,"R$ 324.801,29","R$ 1.282,95"
441,7/6/2009,1,2,3,4,7,8,9,10,11,13,14,20,23,24,25,1,476,19887,275351,1618369,"R$ 1.478.453,20","R$ 1.331,14"
442,7/9/2009,5,6,7,8,9,12,13,14,15,17,18,22,23,24,25,8,670,20117,265028,1362847,"R$ 158.181,99","R$ 1.156,37"
443,7/13/2009,1,2,3,5,7,10,11,12,16,17,18,19,21,22,23,4,508,20967,261631,1477085,"R$ 417.926,72","R$ 1.410,33"
444,7/16/2009,1,2,3,6,7,10,14,15,18,19,20,21,22,24,25,4,451,15044,195211,1144892,"R$ 458.498,53","R$ 1.742,79"
445,7/20/2009,1,2,4,7,9,10,11,12,13,15,16,18,19,20,21,4,603,23103,266477,1430795,"R$ 390.412,33","R$ 1.109,92"
446,7/23/2009,1,2,4,5,6,8,10,11,14,15,16,19,21,23,24,5,651,22372,254065,1230063,"R$ 302.724,08","R$ 1.423,51"
447,7/27/2009,1,2,5,8,10,12,16,17,18,19,20,21,22,24,25,3,409,19802,222597,1314025,"R$ 589.834,33","R$ 1.854,18"
448,7/30/2009,1,3,5,6,9,10,11,12,13,14,15,17,20,23,24,1,435,17496,247609,1473482,"R$ 1.329.469,54","R$ 1.309,82"
449,8/3/2009,1,2,3,4,8,9,10,11,16,17,18,19,22,24,25,0,522,18788,250501,1422374,"R$ 0,00","R$ 1.433,44"
450,8/6/2009,4,5,6,7,9,11,14,16,17,18,21,22,23,24,25,3,460,19788,268293,1642129,"R$ 1.403.449,06","R$ 2.296,05"
451,8/10/2009,1,3,5,6,8,9,14,15,17,18,19,22,23,24,25,9,1074,30935,351167,1692152,"R$ 155.083,09","R$ 795,66"
452,8/13/2009,1,6,7,8,9,10,11,12,14,17,18,19,20,24,25,0,336,13228,207555,1271237,"R$ 0,00","R$ 2.659,27"
453,8/17/2009,1,2,3,4,6,9,11,14,15,17,19,20,21,24,25,4,781,29034,359976,1939899,"R$ 1.057.914,21","R$ 1.178,05"
454,8/20/2009,3,4,6,7,11,12,13,14,15,17,19,20,22,24,25,0,485,20691,261766,1519792,"R$ 0,00","R$ 1.420,19"
455,8/24/2009,1,3,4,5,6,7,8,11,12,14,18,19,21,23,25,8,729,29024,362409,1966307,"R$ 457.924,97","R$ 1.208,83"
456,8/27/2009,1,3,4,9,10,11,12,13,14,17,18,21,23,24,25,7,785,27862,346024,1732830,"R$ 178.670,79","R$ 975,45"
457,8/31/2009,1,4,5,11,13,14,15,16,18,19,20,21,22,23,25,1,407,17580,298630,1634482,"R$ 1.741.731,78","R$ 1.834,05"
458,9/3/2009,2,3,4,5,6,7,8,9,11,13,15,16,18,20,22,5,855,29344,311187,1553849,"R$ 311.957,52","R$ 1.116,92"
459,9/8/2009,1,2,3,4,7,10,11,12,14,15,17,19,20,21,23,3,757,31694,283370,1385273,"R$ 367.854,54","R$ 892,53"
460,9/10/2009,1,3,4,6,9,10,11,12,14,15,16,17,19,22,23,8,645,20777,239996,1235607,"R$ 214.569,91","R$ 1.140,57"
461,9/14/2009,3,4,5,6,7,8,11,12,13,14,15,17,19,23,24,5,698,24686,324355,1647498,"R$ 287.640,29","R$ 1.261,50"
462,9/17/2009,1,2,3,5,7,8,12,14,16,17,18,21,22,23,24,0,558,19875,265357,1274994,"R$ 0,00","R$ 1.285,88"
463,9/21/2009,2,3,6,7,9,11,13,14,17,18,19,20,22,23,25,7,1196,31408,347878,1782660,"R$ 515.681,63","R$ 990,83"
464,9/24/2009,1,2,5,8,10,11,16,17,19,20,21,22,23,24,25,2,530,23200,213995,1175939,"R$ 966.866,22","R$ 1.563,66"
465,9/28/2009,1,2,3,4,6,7,9,10,11,13,18,19,21,22,25,2,455,20974,246908,1400828,"R$ 830.150,42","R$ 1.563,86"
466,10/1/2009,2,6,7,8,10,11,12,14,17,18,19,20,21,22,25,1,328,13667,199100,1156871,"R$ 1.976.545,27","R$ 2.582,60"
467,10/5/2009,2,4,5,6,7,10,13,14,15,17,18,21,22,24,25,5,565,17521,213037,1251469,"R$ 396.907,31","R$ 1.505,34"
468,10/8/2009,2,3,5,6,9,10,12,13,15,17,18,21,22,24,25,8,954,23771,268374,1260272,"R$ 191.492,28","R$ 983,14"
469,10/13/2009,1,2,5,6,7,8,10,11,13,14,18,19,22,23,25,3,617,17705,208381,1155000,"R$ 465.357,53","R$ 1.385,31"
470,10/15/2009,1,3,4,5,6,7,8,10,11,13,15,18,20,22,23,3,576,23017,268187,1174744,"R$ 390.100,47","R$ 1.243,94"
471,10/19/2009,2,3,4,6,9,10,11,12,13,14,15,16,20,24,25,1,314,14393,182221,1128926,"R$ 1.727.808,67","R$ 2.358,25"
472,10/22/2009,1,2,4,5,6,7,8,11,12,13,14,15,17,18,20,3,446,14550,226525,1064480,"R$ 552.536,31","R$ 1.592,83"
473,10/27/2009,1,2,5,6,7,8,9,11,12,15,17,19,22,23,25,8,724,22640,257219,1324486,"R$ 154.499,63","R$ 1.045,21"
474,10/29/2009,1,2,3,5,9,10,11,12,15,16,17,18,21,23,24,2,461,17059,207057,1118403,"R$ 733.503,80","R$ 1.363,81"
475,11/3/2009,2,3,4,5,6,9,10,11,13,14,17,20,21,23,25,0,433,13728,161087,821107,"R$ 0,00","R$ 1.204,84"
476,11/5/2009,1,5,6,7,9,10,11,13,14,15,16,17,19,24,25,1,424,23008,248333,1265772,"R$ 2.359.556,64","R$ 1.523,70"
477,11/9/2009,2,4,6,7,8,10,11,12,14,16,18,20,23,24,25,8,1382,36503,271640,1163643,"R$ 185.196,45","R$ 656,35"
478,11/12/2009,2,3,5,7,9,10,11,12,13,16,18,22,23,24,25,7,708,23117,261931,1302836,"R$ 182.665,53","R$ 1.105,72"
479,11/16/2009,2,3,5,8,11,13,14,15,16,18,19,22,23,24,25,1,607,21383,258022,1403421,"R$ 1.250.813,46","R$ 1.261,62"
480,11/19/2009,4,5,6,7,8,9,11,12,15,17,18,19,22,24,25,2,484,18602,214612,1132768,"R$ 752.129,78","R$ 1.331,99"
481,11/23/2009,1,3,5,7,9,10,12,13,14,15,17,20,21,22,24,7,1081,26980,261385,1224712,"R$ 181.112,53","R$ 718,03"
482,11/26/2009,2,6,7,8,9,10,12,15,16,17,19,21,22,23,25,4,242,11135,179422,989180,"R$ 433.783,11","R$ 3.072,84"
483,11/30/2009,1,4,5,6,7,9,11,12,14,17,18,21,22,23,24,5,508,20378,208730,1127835,"R$ 320.893,49","R$ 1.353,60"
484,12/3/2009,1,4,6,8,9,10,11,13,14,16,17,20,21,23,25,3,695,20032,224299,1109636,"R$ 551.482,24","R$ 1.020,21"
485,12/7/2009,2,3,4,5,6,7,11,16,17,18,20,21,22,24,25,2,211,8989,153197,967691,"R$ 1.047.362,19","R$ 4.254,69"
486,12/10/2009,1,2,3,4,5,7,9,11,13,15,18,19,20,21,22,3,591,21380,272508,1295745,"R$ 384.852,57","R$ 1.196,06"
487,12/14/2009,4,5,6,7,8,9,10,14,15,17,18,19,21,22,24,5,331,13349,192877,1071367,"R$ 375.735,37","R$ 2.432,47"
488,12/17/2009,5,6,7,8,11,12,13,14,15,17,18,20,22,24,25,6,456,18355,219517,1184568,"R$ 240.000,26","R$ 1.353,38"
489,12/21/2009,1,2,5,7,10,11,12,14,17,18,19,21,22,23,25,1,773,26471,262837,1315551,"R$ 1.314.020,28","R$ 1.040,75"
490,12/24/2009,3,5,6,8,10,11,12,13,14,16,17,18,21,22,23,3,360,12787,164246,889574,"R$ 420.057,19","R$ 1.500,20"
491,12/28/2009,1,2,3,7,9,11,12,13,16,20,21,22,23,24,25,10,575,16674,188823,1024321,"R$ 125.888,45","R$ 1.340,42"
492,12/31/2009,1,2,3,4,6,8,11,12,14,15,18,19,21,24,25,2,273,10832,147080,784911,"R$ 571.428,57","R$ 1.794,13"
493,1/4/2010,1,4,5,7,8,10,12,13,14,15,17,18,21,22,25,1,522,16064,182362,960295,"R$ 1.153.381,96","R$ 1.352,78"
494,1/7/2010,2,3,4,5,7,8,12,13,15,16,18,19,20,21,22,1,410,17607,201733,1055673,"R$ 1.616.972,81","R$ 1.690,22"
495,1/11/2010,1,3,4,6,7,8,9,11,13,15,17,19,22,24,25,14,1763,35188,315606,1359905,"R$ 69.850,67","R$ 339,60"
496,1/14/2010,3,4,5,7,9,11,13,14,15,16,17,19,21,22,24,4,1104,28763,286168,1332039,"R$ 270.015,19","R$ 598,96"
497,1/18/2010,1,2,3,4,5,8,9,11,12,14,16,17,19,23,25,1,660,19661,241297,1275136,"R$ 1.452.743,77","R$ 1.347,62"
498,1/21/2010,1,2,4,5,6,11,13,14,15,16,18,20,22,23,25,1,394,19783,214251,1145546,"R$ 1.500.332,47","R$ 1.631,98"
499,1/25/2010,1,2,3,4,7,10,11,12,15,17,19,20,21,24,25,5,668,22310,232278,1158584,"R$ 259.345,38","R$ 1.188,49"
500,1/28/2010,2,3,5,6,8,9,10,13,14,16,18,20,21,23,25,11,1761,41880,310156,1174557,"R$ 99.248,36","R$ 379,56"
501,2/1/2010,1,2,3,4,6,9,12,15,17,18,19,21,23,24,25,9,692,21741,270699,1326696,"R$ 148.820,58","R$ 1.185,01"
502,2/4/2010,1,2,3,4,5,6,8,10,11,13,16,18,19,23,24,2,457,18368,226048,1214288,"R$ 739.979,76","R$ 1.387,89"
503,2/8/2010,1,2,3,4,5,7,11,12,14,15,17,20,21,24,25,3,597,38355,269717,1289118,"R$ 422.012,08","R$ 1.298,36"
504,2/11/2010,1,6,9,10,12,13,14,15,16,17,18,19,20,21,23,0,274,10689,162296,982144,"R$ 0,00","R$ 3.099,58"
505,2/13/2010,3,4,6,7,9,11,15,16,17,18,19,20,21,22,24,1,210,8418,125363,702501,"R$ 3.246.835,18","R$ 2.581,99"
506,2/18/2010,4,5,6,9,11,12,13,15,16,17,19,20,21,22,24,1,395,14552,206308,995591,"R$ 1.526.982,41","R$ 1.656,76"
507,2/22/2010,1,2,3,5,6,8,9,10,11,12,20,21,23,24,25,6,406,15636,212701,1221538,"R$ 254.800,40","R$ 1.613,80"
508,2/25/2010,2,3,5,6,7,8,9,14,15,16,18,19,23,24,25,5,495,19303,229983,1116568,"R$ 281.746,45","R$ 1.219,68"
509,3/1/2010,1,3,5,6,9,11,12,15,16,17,19,20,22,24,25,9,898,25538,265722,1269135,"R$ 160.612,17","R$ 985,52"
510,3/4/2010,1,2,3,4,6,7,10,11,12,13,20,21,22,23,25,4,509,18319,214225,1238241,"R$ 413.048,98","R$ 1.391,13"
511,3/8/2010,1,2,5,7,10,11,12,13,14,17,18,19,21,24,25,5,751,26939,251711,1386659,"R$ 294.214,41","R$ 1.199,27"
512,3/12/2010,1,2,4,5,6,7,8,9,10,12,13,15,16,21,24,1,282,10972,188835,919784,"R$ 1.661.076,85","R$ 2.524,44"
513,3/15/2010,1,2,3,6,9,10,11,13,15,17,18,20,22,23,25,5,1040,26822,279101,1423069,"R$ 236.824,24","R$ 697,08"
514,3/18/2010,1,5,6,7,8,9,11,12,15,17,18,21,22,24,25,2,595,20989,218580,1180373,"R$ 763.862,20","R$ 1.100,40"
515,3/22/2010,2,3,5,7,9,10,11,12,13,14,17,18,20,24,25,6,884,26458,288568,1350255,"R$ 202.043,33","R$ 839,59"
516,3/25/2010,2,4,5,6,7,8,11,12,13,14,18,20,21,23,24,1,472,18207,210820,1094470,"R$ 1.564.230,58","R$ 1.420,30"
517,3/29/2010,1,3,4,5,6,7,8,9,11,12,13,17,21,22,23,1,453,18492,238232,1347231,"R$ 1.293.222,34","R$ 1.223,49"
518,4/1/2010,4,5,6,7,10,11,12,13,14,16,17,19,20,22,24,1,309,12294,175675,964462,"R$ 1.704.237,56","R$ 2.363,72"
519,4/5/2010,2,3,7,9,11,12,13,15,16,17,19,21,23,24,25,8,1120,33226,297943,1208184,"R$ 70.254,06","R$ 307,23"
520,4/8/2010,2,4,5,6,9,10,12,14,15,18,19,20,22,23,24,5,787,22526,241184,1169925,"R$ 304.073,80","R$ 1.182,76"
521,4/12/2010,1,2,3,4,5,6,9,10,11,12,13,17,19,20,23,4,617,22112,255951,1431712,"R$ 320.079,25","R$ 1.270,44"
522,4/15/2010,2,4,6,7,9,11,16,17,18,19,21,22,23,24,25,1,341,15323,198246,1114898,"R$ 1.779.817,90","R$ 2.236,89"
523,4/19/2010,2,4,5,8,9,10,11,12,13,16,17,18,19,24,25,2,675,20538,221803,1234488,"R$ 777.355,86","R$ 1.410,16"
524,4/22/2010,2,3,5,6,7,10,11,12,14,17,20,21,22,23,24,4,551,17994,201564,1085636,"R$ 333.599,98","R$ 1.482,72"
525,4/26/2010,3,4,6,9,10,11,13,15,16,17,18,20,21,22,25,4,494,15966,212745,1120415,"R$ 422.783,22","R$ 1.467,15"
526,4/29/2010,1,2,4,7,8,9,10,11,12,14,15,16,19,24,25,4,410,17338,207248,1171704,"R$ 348.184,93","R$ 1.455,83"
527,5/3/2010,1,2,5,6,9,11,12,14,15,16,17,19,22,23,24,3,656,21327,241186,1166896,"R$ 464.997,39","R$ 1.301,94"
528,5/6/2010,2,3,4,6,7,8,10,11,12,15,19,21,23,24,25,1,437,15652,222396,1238471,"R$ 1.526.533,47","R$ 1.497,09"
529,5/10/2010,2,3,5,6,7,11,12,16,17,18,19,20,22,23,25,1,348,13505,189493,1126684,"R$ 1.744.474,56","R$ 2.148,37"
530,5/13/2010,3,4,6,7,8,9,10,11,12,14,16,18,21,22,23,2,332,13200,183705,1071544,"R$ 921.212,78","R$ 2.378,35"
531,5/17/2010,1,2,3,7,10,12,13,14,15,16,17,21,22,23,25,1,357,13299,188391,1214710,"R$ 1.750.987,00","R$ 2.102,03"
532,5/20/2010,1,2,4,5,6,7,9,11,12,13,15,16,19,22,24,4,856,27798,290052,1324573,"R$ 260.411,23","R$ 745,02"
533,5/24/2010,1,2,3,8,9,10,11,13,14,16,17,18,20,24,25,2,563,19464,217320,1115689,"R$ 825.816,73","R$ 1.257,27"
534,5/27/2010,1,2,3,5,7,8,11,12,13,15,18,19,21,22,24,8,651,21381,246416,1296022,"R$ 141.434,12","R$ 1.064,11"
535,5/31/2010,1,4,5,6,9,11,13,15,16,17,19,21,23,24,25,8,1498,40961,360660,1416452,"R$ 105.001,52","R$ 343,31"
536,6/4/2010,3,4,5,7,9,11,15,16,17,19,20,22,23,24,25,3,380,16892,233261,1174458,"R$ 358.144,31","R$ 1.211,77"
537,6/7/2010,1,2,4,6,9,10,11,14,15,17,18,20,22,23,24,3,498,15557,185784,967245,"R$ 505.475,29","R$ 1.305,01"
538,6/10/2010,2,5,6,10,11,12,13,16,17,18,19,20,21,24,25,2,308,12973,188621,1136757,"R$ 864.843,03","R$ 2.406,80"
539,6/14/2010,1,2,4,5,6,8,9,12,13,14,15,16,19,21,23,2,575,20840,234195,1245413,"R$ 701.454,48","R$ 1.493,78"
540,6/17/2010,2,6,7,8,9,11,12,13,15,16,18,19,20,22,24,2,353,15332,216759,1082704,"R$ 724.630,15","R$ 1.759,52"
541,6/21/2010,3,4,5,6,9,10,13,14,15,17,19,20,22,24,25,13,697,20672,235534,1177329,"R$ 106.439,22","R$ 1.215,45"
542,6/24/2010,1,2,3,4,5,8,9,10,13,16,17,18,20,22,24,2,251,11695,171471,964323,"R$ 780.319,96","R$ 2.664,72"
543,6/28/2010,1,5,7,8,10,11,13,14,15,16,17,20,22,24,25,1,566,16716,186405,907421,"R$ 1.258.973,12","R$ 1.361,83"
544,7/1/2010,2,4,5,7,8,9,11,13,14,15,18,19,21,23,24,8,1188,26674,264609,1304943,"R$ 131.506,97","R$ 542,18"
545,7/5/2010,1,3,5,6,7,11,12,13,14,15,17,18,23,24,25,5,559,19089,255175,1318074,"R$ 243.944,00","R$ 1.335,89"
546,7/8/2010,2,3,4,5,8,9,10,11,12,13,17,18,19,21,23,10,1362,29268,298934,1399866,"R$ 99.495,51","R$ 447,25"
547,7/12/2010,1,2,4,5,6,9,10,12,14,16,17,19,20,24,25,4,525,18363,219631,1162495,"R$ 364.055,20","R$ 1.188,75"
548,7/15/2010,1,2,3,4,5,6,7,8,9,13,14,17,20,23,25,3,499,15092,207442,1225078,"R$ 511.311,21","R$ 1.317,44"
549,7/19/2010,3,4,7,9,10,11,13,14,15,16,17,20,21,22,23,3,516,17316,218298,1163801,"R$ 547.465,83","R$ 1.364,12"
550,7/22/2010,1,5,6,7,9,10,11,13,14,16,17,18,20,21,22,0,364,14046,182316,1038543,"R$ 0,00","R$ 2.128,59"
551,7/26/2010,3,7,8,10,12,13,14,16,17,18,19,20,21,22,24,4,516,19374,251668,1412653,"R$ 1.006.624,34","R$ 1.842,71"
552,7/29/2010,1,3,4,5,6,8,10,12,13,17,20,22,23,24,25,5,534,18315,219362,1196146,"R$ 300.996,01","R$ 1.207,85"
553,8/2/2010,4,5,7,8,9,10,12,13,14,15,17,18,21,23,24,6,552,21395,258936,1319433,"R$ 236.490,57","R$ 1.101,66"
554,8/5/2010,1,2,3,4,6,9,13,14,17,19,20,21,22,24,25,2,921,19962,225349,1190896,"R$ 808.008,00","R$ 1.074,26"
555,8/9/2010,1,2,6,7,8,9,10,12,14,16,17,18,20,23,24,2,367,15698,200568,1148222,"R$ 934.301,32","R$ 2.182,10"
556,8/12/2010,1,4,8,9,11,13,14,16,17,18,20,22,23,24,25,1,410,16469,214203,1182087,"R$ 1.649.889,50","R$ 1.724,62"
557,8/16/2010,1,5,7,8,9,10,12,14,15,17,18,19,20,21,23,8,861,18470,244201,1257223,"R$ 190.268,59","R$ 1.082,37"
558,8/19/2010,1,3,4,5,7,10,12,14,17,18,20,21,22,24,25,4,799,22708,236911,1159379,"R$ 363.422,60","R$ 1.113,91"
559,8/23/2010,1,2,5,7,9,10,11,13,14,16,19,20,21,22,23,8,686,19343,226706,1195704,"R$ 201.461,22","R$ 1.438,40"
560,8/26/2010,1,2,4,9,10,12,14,17,18,19,20,21,23,24,25,4,604,20649,244953,1235083,"R$ 314.489,59","R$ 1.275,13"
561,8/30/2010,2,3,4,6,7,9,10,11,12,13,15,17,18,20,21,2,715,18107,220613,1249894,"R$ 755.984,07","R$ 1.294,67"
562,9/2/2010,1,2,3,5,7,8,13,14,16,18,19,20,21,22,24,0,426,15885,219713,1121876,"R$ 0,00","R$ 1.683,32"
563,9/6/2010,1,3,4,5,6,7,9,11,12,16,19,20,22,23,24,1,549,22041,247821,1352794,"R$ 3.849.193,68","R$ 1.698,66"
564,9/9/2010,1,2,3,4,7,9,12,14,15,17,19,20,21,23,24,6,1484,35027,318247,1357895,"R$ 174.322,76","R$ 431,51"
565,9/13/2010,1,4,6,7,9,10,12,15,17,18,19,20,21,23,24,4,696,26403,308783,1310061,"R$ 387.484,25","R$ 1.363,42"
566,9/16/2010,1,3,4,5,7,9,10,11,14,15,16,17,19,20,21,1,597,19734,269743,1352743,"R$ 1.442.873,72","R$ 1.479,71"
567,9/20/2010,1,2,5,7,8,9,10,12,13,14,15,17,21,24,25,1,484,19068,258278,1433615,"R$ 1.396.811,92","R$ 1.236,85"
568,9/23/2010,1,2,4,5,6,7,8,9,13,15,16,17,18,20,21,2,296,12319,188348,1093798,"R$ 945.550,01","R$ 2.738,08"
569,9/27/2010,1,2,6,7,8,12,13,16,17,18,19,20,22,24,25,3,424,14729,191379,1107683,"R$ 649.261,12","R$ 1.968,78"
570,9/30/2010,1,2,3,4,5,10,12,14,15,18,19,20,21,22,23,5,1211,14428,180764,1141748,"R$ 340.385,74","R$ 860,44"
571,10/4/2010,3,4,5,6,7,11,12,15,16,18,19,20,21,24,25,1,409,12619,167577,1045766,"R$ 2.000.714,60","R$ 2.096,46"
572,10/7/2010,2,5,6,8,9,10,13,14,15,16,17,19,21,22,24,8,537,17762,206388,1132891,"R$ 208.278,57","R$ 1.329,79"
573,10/11/2010,1,2,3,7,10,11,12,14,16,18,20,22,23,24,25,10,738,22769,237282,1175010,"R$ 144.750,16","R$ 1.200,84"
574,10/14/2010,1,5,6,11,12,13,14,16,18,19,20,21,22,23,25,2,236,11996,178066,985987,"R$ 895.020,07","R$ 3.250,68"
575,10/18/2010,3,5,8,9,10,12,13,15,16,17,18,19,21,22,24,3,562,19209,243515,1221767,"R$ 488.591,66","R$ 1.117,78"
576,10/21/2010,6,8,9,10,11,12,13,15,16,17,18,19,21,23,25,2,458,15938,223371,1245607,"R$ 761.051,27","R$ 1.424,30"
577,10/25/2010,1,2,3,4,5,8,10,12,15,16,18,19,21,22,23,2,507,23593,209147,1185808,"R$ 828.762,36","R$ 1.401,12"
578,10/28/2010,1,4,6,7,8,10,12,13,14,15,16,19,21,22,23,2,397,14876,185023,1069786,"R$ 904.717,13","R$ 1.953,33"
579,11/1/2010,1,3,5,6,7,8,10,12,13,14,17,19,20,21,24,4,872,22931,240902,1207526,"R$ 359.931,80","R$ 1.010,85"
580,11/4/2010,1,4,6,7,8,9,10,12,13,14,16,17,21,24,25,4,305,12594,181480,1062602,"R$ 438.982,21","R$ 2.467,35"
581,11/8/2010,2,4,6,9,11,12,13,14,15,17,18,19,21,23,25,8,1077,29297,302521,1395685,"R$ 160.241,06","R$ 728,74"
582,11/11/2010,3,7,8,9,10,11,12,13,15,17,18,19,21,23,25,5,1168,62827,372211,1556302,"R$ 125.093,87","R$ 327,85"
583,11/16/2010,1,3,4,7,8,9,11,14,16,17,18,19,21,23,24,1,798,22000,207198,1075231,"R$ 1.266.644,04","R$ 971,79"
584,11/18/2010,2,3,5,6,7,8,10,11,14,15,19,20,21,22,23,3,441,13027,167793,961223,"R$ 562.616,10","R$ 1.640,28"
585,11/22/2010,1,5,7,8,9,10,13,14,15,16,17,18,20,23,24,3,450,16309,225856,1231405,"R$ 502.480,27","R$ 1.435,66"
586,11/25/2010,2,3,4,6,7,8,11,12,16,17,18,19,22,24,25,7,631,19089,224945,1110458,"R$ 226.653,62","R$ 1.077,59"
587,11/29/2010,1,4,5,7,9,10,11,12,13,17,18,19,20,21,23,4,980,29881,334590,1495137,"R$ 210.422,78","R$ 525,83"
588,12/2/2010,1,4,5,7,11,12,13,14,17,18,19,20,23,24,25,2,434,17732,261699,1400021,"R$ 711.241,44","R$ 1.404,69"
589,12/6/2010,2,3,4,6,8,9,10,12,13,20,21,22,23,24,25,3,359,13955,218339,1203285,"R$ 634.634,41","R$ 2.272,86"
590,12/9/2010,1,3,4,6,9,10,11,13,14,15,16,18,19,20,21,2,504,16570,219440,1203971,"R$ 900.878,09","R$ 1.532,11"
591,12/13/2010,1,2,4,7,8,10,11,14,15,16,17,19,20,21,23,3,796,24433,242703,1214464,"R$ 543.400,89","R$ 1.253,87"
592,12/16/2010,1,3,5,6,8,9,10,14,15,16,17,18,19,20,22,0,315,14618,190335,1147118,"R$ 0,00","R$ 2.567,78"
593,12/20/2010,1,3,4,5,6,9,10,11,13,14,15,20,23,24,25,4,622,22988,295679,1649560,"R$ 934.664,56","R$ 1.275,61"
594,12/23/2010,2,3,6,7,9,10,11,13,14,15,16,18,20,23,25,4,627,24729,241352,1268817,"R$ 368.981,88","R$ 1.441,19"
595,12/27/2010,1,5,6,7,8,9,10,11,12,15,17,19,21,24,25,3,441,17892,227692,1213860,"R$ 403.768,38","R$ 1.177,17"
596,12/30/2010,2,3,7,8,9,10,11,12,17,18,19,20,22,23,25,7,570,21506,266520,1246576,"R$ 200.409,07","R$ 1.054,79"
597,1/3/2011,1,2,3,5,8,9,10,11,14,16,17,18,22,24,25,5,423,16975,175807,973590,"R$ 293.731,66","R$ 1.488,00"
598,1/6/2011,1,3,4,5,7,11,12,14,15,18,19,20,21,22,25,2,367,15591,215022,1217684,"R$ 879.761,64","R$ 2.054,72"
599,1/10/2011,2,4,5,6,7,9,12,13,16,18,20,21,22,23,24,2,880,25267,242911,1212629,"R$ 806.835,12","R$ 1.122,68"
600,1/13/2011,1,3,5,6,8,9,10,11,16,17,18,19,22,23,25,1,446,18792,264016,1311553,"R$ 1.508.680,72","R$ 1.449,73"
601,1/17/2011,1,3,5,6,7,9,10,11,12,13,14,16,19,20,25,1,412,17057,233981,1391101,"R$ 1.549.579,97","R$ 1.611,91"
602,1/20/2011,1,2,5,6,7,8,9,10,11,12,13,18,22,23,25,3,380,15543,202872,1287103,"R$ 531.250,27","R$ 1.797,46"
603,1/24/2011,2,4,5,6,8,10,12,13,15,16,19,20,21,22,23,9,1056,25773,261450,1219712,"R$ 173.128,62","R$ 903,38"
604,1/27/2011,1,2,6,7,9,12,13,14,15,18,19,20,22,24,25,3,506,18012,211005,1136698,"R$ 549.733,20","R$ 1.396,84"
605,1/31/2011,2,3,4,5,7,10,11,13,14,16,17,18,21,23,25,2,672,22418,238557,1242808,"R$ 692.423,30","R$ 1.261,70"
606,2/3/2011,2,3,6,7,8,10,12,14,15,16,18,22,23,24,25,2,534,21419,252623,1205679,"R$ 805.752,09","R$ 1.293,35"
607,2/7/2011,3,5,7,9,12,15,16,17,18,19,20,21,22,24,25,3,523,19073,242004,1275101,"R$ 521.465,47","R$ 1.281,94"
608,2/10/2011,1,2,3,5,7,8,10,13,14,16,17,18,19,23,25,3,577,22142,288028,1426372,"R$ 420.262,01","R$ 1.337,79"
609,2/14/2011,1,2,4,7,9,10,11,12,14,15,16,19,20,23,25,2,776,24054,258435,1294077,"R$ 786.997,78","R$ 1.241,84"
610,2/17/2011,1,2,4,6,7,8,10,12,13,14,15,16,21,22,25,2,333,16464,193384,1130653,"R$ 926.468,20","R$ 2.384,73"
611,2/21/2011,2,3,4,5,6,8,9,13,14,16,18,19,20,21,23,2,513,19827,228178,1252332,"R$ 840.371,73","R$ 1.404,13"
612,2/24/2011,1,2,3,6,7,9,10,13,15,16,17,18,19,23,25,3,529,20136,283214,1383199,"R$ 413.013,65","R$ 1.434,01"
613,2/28/2011,2,5,6,7,10,11,12,13,14,16,17,20,22,23,25,1,550,18083,220899,1226595,"R$ 1.732.890,56","R$ 1.350,30"
614,3/3/2011,1,5,6,7,9,11,12,13,16,17,18,19,20,22,23,1,425,16100,234811,1334543,"R$ 1.661.393,86","R$ 1.675,36"
615,3/5/2011,1,2,4,7,8,11,12,17,19,20,21,22,23,24,25,0,242,9713,116484,624296,"R$ 0,00","R$ 1.550,86"
616,3/10/2011,1,2,6,9,10,12,15,16,17,18,19,21,22,24,25,2,343,15129,207683,1239087,"R$ 1.419.332,30","R$ 2.452,66"
617,3/14/2011,1,2,3,4,5,7,10,14,15,16,19,21,22,24,25,0,327,13164,185941,1177952,"R$ 0,00","R$ 2.639,17"
618,3/17/2011,1,2,4,5,6,7,9,12,13,17,19,20,21,22,24,6,1435,34894,357814,1689262,"R$ 641.554,45","R$ 783,17"
619,3/21/2011,1,3,4,7,8,9,13,14,17,18,19,20,21,23,25,6,1203,34886,333691,1516821,"R$ 197.456,25","R$ 602,95"
620,3/24/2011,1,5,6,7,10,11,12,14,15,16,18,19,20,21,22,3,450,16122,213960,1171772,"R$ 607.601,77","R$ 1.736,00"
621,3/28/2011,1,2,3,5,6,8,9,10,12,15,16,20,22,24,25,3,700,25271,269094,1261576,"R$ 515.408,29","R$ 1.352,38"
622,3/31/2011,2,3,4,5,6,7,9,10,11,12,13,15,17,18,21,5,2177,18926,275820,1304035,"R$ 291.391,81","R$ 409,74"
